subID,block,liquid,include,group,subID.orig
73,7,saltwater,yes,OA,113
73,8,juice,yes,OA,113
73,9,neutral,yes,OA,113
74,7,neutral,yes,OA,114
74,8,saltwater,yes,OA,114
74,9,juice,yes,OA,114
75,7,neutral,yes,OA,115
75,8,juice,yes,OA,115
75,9,saltwater,yes,OA,115
76,7,saltwater,yes,OA,116
76,8,neutral,yes,OA,116
76,9,juice,yes,OA,116
77,7,saltwater,yes,OA,117
77,8,juice,yes,OA,117
77,9,neutral,yes,OA,117
78,7,juice,yes,OA,118
78,8,saltwater,yes,OA,118
78,9,neutral,yes,OA,118
79,7,juice,yes,OA,119
79,8,neutral,yes,OA,119
79,9,saltwater,yes,OA,119
80,7,neutral,no,OA,120
80,8,saltwater,no,OA,120
80,9,juice,no,OA,120
81,7,neutral,yes,OA,121
81,8,saltwater,yes,OA,121
81,9,juice,yes,OA,121
82,7,saltwater,yes,OA,122
82,8,neutral,yes,OA,122
82,9,juice,yes,OA,122
83,7,saltwater,yes,OA,123
83,8,juice,yes,OA,123
83,9,neutral,yes,OA,123
84,7,juice,yes,OA,124
84,8,saltwater,yes,OA,124
84,9,neutral,yes,OA,124
85,7,juice,yes,OA,125
85,8,neutral,yes,OA,125
85,9,saltwater,yes,OA,125
86,7,neutral,yes,OA,126
86,8,saltwater,yes,OA,126
86,9,juice,yes,OA,126
87,7,neutral,yes,OA,127
87,8,juice,yes,OA,127
87,9,saltwater,yes,OA,127
88,7,saltwater,yes,OA,128
88,8,neutral,yes,OA,128
88,9,juice,yes,OA,128
89,7,saltwater,yes,OA,129
89,8,juice,yes,OA,129
89,9,neutral,yes,OA,129
90,7,juice,yes,OA,130
90,8,saltwater,yes,OA,130
90,9,neutral,yes,OA,130
91,7,juice,no,OA,131
91,8,neutral,no,OA,131
91,9,saltwater,no,OA,131
92,7,neutral,yes,OA,132
92,8,saltwater,yes,OA,132
92,9,juice,yes,OA,132
93,7,neutral,no,OA,133
93,8,juice,no,OA,133
93,9,saltwater,no,OA,133
94,7,saltwater,no,OA,134
94,8,neutral,no,OA,134
94,9,juice,no,OA,134
95,7,saltwater,yes,OA,135
95,8,juice,yes,OA,135
95,9,neutral,yes,OA,135
96,7,juice,yes,OA,136
96,8,saltwater,yes,OA,136
96,9,neutral,yes,OA,136
97,7,juice,no,OA,137
97,8,saltwater,no,OA,137
97,9,neutral,no,OA,137
98,7,neutral,yes,OA,138
98,8,saltwater,yes,OA,138
98,9,juice,yes,OA,138
99,7,neutral,yes,OA,139
99,8,juice,yes,OA,139
99,9,saltwater,yes,OA,139
100,7,saltwater,yes,OA,140
100,8,neutral,yes,OA,140
100,9,juice,yes,OA,140
101,7,saltwater,yes,OA,141
101,8,juice,yes,OA,141
101,9,neutral,yes,OA,141
102,7,juice,yes,OA,142
102,8,saltwater,yes,OA,142
102,9,neutral,yes,OA,142
103,7,juice,no,OA,143
103,8,neutral,no,OA,143
103,9,saltwater,no,OA,143
104,7,neutral,yes,OA,144
104,8,saltwater,yes,OA,144
104,9,juice,yes,OA,144
105,7,neutral,no,OA,145
105,8,juice,no,OA,145
105,9,saltwater,no,OA,145
108,7,juice,yes,OA,148
108,8,saltwater,yes,OA,148
108,9,neutral,yes,OA,148
109,7,juice,yes,OA,149
109,8,neutral,yes,OA,149
109,9,saltwater,yes,OA,149
110,7,neutral,no,OA,150
110,8,saltwater,no,OA,150
110,9,juice,no,OA,150
111,7,neutral,yes,OA,151
111,8,juice,yes,OA,151
111,9,saltwater,yes,OA,151
112,7,saltwater,no,OA,152
112,8,neutral,no,OA,152
112,9,juice,no,OA,152
113,7,saltwater,yes,OA,153
113,8,juice,yes,OA,153
113,9,neutral,yes,OA,153
114,7,juice,yes,OA,154
114,8,saltwater,yes,OA,154
114,9,neutral,yes,OA,154
115,7,juice,yes,OA,155
115,8,neutral,yes,OA,155
115,9,saltwater,yes,OA,155
116,7,neutral,yes,OA,156
116,8,saltwater,yes,OA,156
116,9,juice,yes,OA,156
117,7,neutral,yes,OA,157
117,8,juice,yes,OA,157
117,9,saltwater,yes,OA,157
118,7,saltwater,yes,OA,158
118,8,neutral,yes,OA,158
118,9,juice,yes,OA,158
119,7,saltwater,no,OA,159
119,8,juice,no,OA,159
119,9,neutral,no,OA,159
