,subID,group,block,critRT,Trial,Resp,RT,ACC,rewType,moneyearned,congruent,taskswitch
96,1,YA,7,712,96,3,665,1,Reward4,0.04,congruent,0
97,1,YA,8,712,1,4,566,1,Reward2,0.02,incongruent,0
98,1,YA,8,712,2,3,366,1,Reward1,0.01,congruent,0
99,1,YA,8,712,3,3,708,1,Reward1,0.01,incongruent,1
100,1,YA,8,712,4,3,408,1,Reward4,0.04,congruent,0
101,1,YA,8,712,5,3,969,1,Reward2,0,congruent,1
102,1,YA,8,712,6,3,421,1,Reward4,0.04,incongruent,1
103,1,YA,8,712,7,4,508,1,Reward1,0.01,incongruent,1
104,1,YA,8,712,8,3,561,1,Reward4,0.04,incongruent,1
105,1,YA,8,712,9,3,519,1,Reward1,0.01,incongruent,1
106,1,YA,8,712,10,4,559,1,Reward2,0.02,incongruent,1
107,1,YA,8,712,11,3,393,1,Reward4,0.04,congruent,1
108,1,YA,8,712,12,4,418,1,Reward4,0.04,incongruent,0
109,1,YA,8,712,13,3,406,1,Reward2,0.02,incongruent,0
110,1,YA,8,712,14,3,514,1,Reward4,0.04,incongruent,0
111,1,YA,8,712,15,4,491,0,Reward1,0,incongruent,0
112,1,YA,8,712,16,4,441,1,Reward2,0.02,congruent,0
113,1,YA,8,712,17,3,464,1,Reward4,0.04,congruent,1
114,1,YA,8,712,18,4,500,1,Reward2,0.02,congruent,1
115,1,YA,8,712,19,3,630,1,Reward1,0.01,congruent,1
116,1,YA,8,712,20,3,537,1,Reward4,0.04,congruent,0
117,1,YA,8,712,21,3,581,1,Reward1,0.01,congruent,0
118,1,YA,8,712,22,4,459,1,Reward4,0.04,congruent,1
119,1,YA,8,712,23,4,427,1,Reward4,0.04,congruent,0
120,1,YA,8,712,24,3,413,1,Reward2,0.02,congruent,1
121,1,YA,8,712,25,4,668,1,Reward4,0.04,congruent,0
122,1,YA,8,712,26,4,485,1,Reward2,0.02,congruent,1
123,1,YA,8,712,27,4,416,1,Reward1,0.01,incongruent,0
124,1,YA,8,712,28,4,711,1,Reward2,0.02,congruent,0
125,1,YA,8,712,29,3,561,1,Reward2,0.02,congruent,0
126,1,YA,8,712,30,3,414,1,Reward2,0.02,incongruent,1
127,1,YA,8,712,31,3,444,1,Reward4,0.04,incongruent,1
128,1,YA,8,712,32,4,460,1,Reward4,0.04,incongruent,1
129,1,YA,8,712,33,3,548,1,Reward2,0.02,incongruent,1
130,1,YA,8,712,34,4,647,1,Reward1,0.01,congruent,1
131,1,YA,8,712,35,4,381,1,Reward4,0.04,incongruent,0
132,1,YA,8,712,36,3,688,1,Reward1,0.01,congruent,1
133,1,YA,8,712,37,3,397,1,Reward4,0.04,congruent,0
134,1,YA,8,712,38,4,453,0,Reward1,0,incongruent,1
135,1,YA,8,712,39,3,405,1,Reward2,0.02,incongruent,0
136,1,YA,8,712,40,3,442,1,Reward4,0.04,incongruent,0
137,1,YA,8,712,41,3,427,1,Reward2,0.02,congruent,0
138,1,YA,8,712,42,4,455,1,Reward1,0.01,congruent,1
139,1,YA,8,712,43,3,354,1,Reward2,0.02,incongruent,1
140,1,YA,8,712,44,3,699,0,Reward4,0,incongruent,1
141,1,YA,8,712,45,4,520,1,Reward2,0.02,congruent,1
142,1,YA,8,712,46,3,922,1,Reward1,0,congruent,1
143,1,YA,8,712,47,3,391,1,Reward2,0.02,incongruent,0
144,1,YA,8,712,48,3,596,1,Reward1,0.01,congruent,0
145,1,YA,8,712,49,3,423,1,Reward4,0.04,incongruent,0
146,1,YA,8,712,50,3,397,1,Reward4,0.04,congruent,0
147,1,YA,8,712,51,4,471,1,Reward1,0.01,congruent,1
148,1,YA,8,712,52,4,386,1,Reward1,0.01,incongruent,0
